pub,va,+-,vi,+-,dv
Abriel 2001,-21.5,1.4696938456,-65.2,1.4422205102,43.7
Abriel 2001,-23.3,4.1569219382,-63.3,1.788854382,40.0
Abriel 2001,-24.6,3.1176914536,-63.7,1.3416407864,39.1
Abriel 2001,-25.5,3.1176914536,-64.3,1.3416407864,38.8
Abriel 2001,-26.0,3.8105117766,-64.5,1.3416407864,38.5
Akai 2000,-44.1,1.8,-80.8,12.6,36.699999999999996
Bankston 2007b,-24.8,9.3744333162,-71.2,5.4,46.400000000000006
Baroudi 2000b,-47.24,16.3058271792,-93.22,10.3566210706,45.98
Baroudi 2001,-47.23,8.049844719,-92.47,4.52,45.24
Casini 2007,-38.6,7.7459666924,-88.0,15.143315357,49.4
Deschenes 2000,-53.6,8.94427191,-97.4,5.3888774342,43.800000000000004
Huang 2009,-50.34,12.36,-100.47,8.04,50.129999999999995
Lin 2008,-54.64,3.9157119404,-99.04,4.921463197,44.400000000000006
Lupoglazoff 2001,-47.23,15.6920361968,-92.47,7.2965745388,45.24
Makita 2002,-47.2,7.932212806,-91.0,9.3744333162,43.8
Makiyama 2008,-43.61,7.5774138068,-78.08,8.8179816284,34.47
Mohler 2004,-41.8,5.2915026222,-68.9,2.3237900078,27.10000000000001
Moreau 2013,-47.9,8.6533230612,-92.0,9.3744333162,44.1
Neu 2010,-50.9,11.7779454914,-90.9,8.4,40.00000000000001
Nguyen 2008,-47.8,3.1622776602,-89.4,5.0596442562,41.60000000000001
Smits 2005a,-42.6,8.4,-89.4,7.2,46.800000000000004
Smits 2005b,-43.7,18.0,-98.8,15.143315357,55.099999999999994
Viswanathan 2003,-40.7,9.286549413,-85.0,7.9598994968,44.3
Wang 2002,-47.7,8.0,-100.7,12.204917042,53.0
Wang 2007a,-44.3,4.4899888642,-89.3,8.8,45.0
Wang 2008,-44.3,4.4899888642,-89.3,8.8,45.0
Wedekind 2001,-42.8,15.3453576042,-98.1,10.053854982,55.3
Yang 2002,-54.3,18.5202591774,-98.3,1.5874507866,44.0
