year,yes,no
1996,0.0,100.0
1997,0,0
1998,33.33333333333333,66.66666666666666
1999,33.33333333333333,66.66666666666666
2000,58.333333333333336,41.66666666666667
2001,85.71428571428571,14.285714285714285
2002,63.63636363636363,36.36363636363637
2003,63.63636363636363,36.36363636363637
2004,55.55555555555556,44.44444444444444
2005,35.714285714285715,64.28571428571429
2006,42.857142857142854,57.14285714285714
2007,85.0,15.0
2008,69.23076923076923,30.76923076923077
2009,38.88888888888889,61.111111111111114
2010,10.0,90.0
2011,26.08695652173913,73.91304347826086
2012,21.052631578947366,78.94736842105263
2013,37.5,62.5
2014,24.489795918367346,75.51020408163265
2015,13.157894736842104,86.8421052631579
