xaxis,xlabel,zero,act,inact,late,changed,unchanged
1,N-terminus,0.0833333333333,0.111111111111,0.194444444444,0.0,0.361111111111,0.25
2,Segment 1,0.111111111111,0.222222222222,0.111111111111,0.0,0.333333333333,0.222222222222
3,Segment 2,0.0833333333333,0.25,0.0833333333333,0.0,0.416666666667,0.166666666667
4,Segment 3,0.0,0.190476190476,0.285714285714,0.047619047619,0.333333333333,0.142857142857
5,Segment 4,0.0135135135135,0.22972972973,0.317567567568,0.0608108108108,0.337837837838,0.0405405405405
6,Segment 5,0.214285714286,0.142857142857,0.142857142857,0.0714285714286,0.357142857143,0.0714285714286
7,Segment 6,0.0,0.170212765957,0.340425531915,0.148936170213,0.340425531915,0.0
8,Linker 1-2,0.0,0.0,0.0,0.0,0.0,0.0
9,Linker 2-3,0.4,0.0,0.0,0.0,0.4,0.2
10,Linker 3-4,0.0,0.205128205128,0.333333333333,0.0512820512821,0.333333333333,0.0769230769231
11,Linker 4-5,0.0,0.172413793103,0.275862068966,0.137931034483,0.310344827586,0.103448275862
12,Linker 5-6,0.281818181818,0.0727272727273,0.118181818182,0.0181818181818,0.418181818182,0.0909090909091
13,Domain linker,0.00990099009901,0.118811881188,0.227722772277,0.0841584158416,0.311881188119,0.247524752475
14,C-terminus,0.0,0.093023255814,0.31007751938,0.162790697674,0.348837209302,0.0852713178295
