xaxis,xlabel,density,relative-density
1,N-terminus,0.277777777778,-0.0248015873016
2,Segment 1,0.20618556701,-0.0963937980691
3,Segment 2,0.234042553191,-0.0685368118879
4,Segment 3,0.235294117647,-0.0672852474323
5,Segment 4,0.571428571429,0.268849206349
6,Segment 5,0.307692307692,0.00511294261294
7,Segment 6,0.519230769231,0.216651404151
8,Linker 1-2,0.209302325581,-0.093277039498
9,Linker 2-3,0.333333333333,0.030753968254
10,Linker 3-4,0.423076923077,0.120497557998
11,Linker 4-5,0.378787878788,0.0762085137085
12,Linker 5-6,0.316293929712,0.0137145646331
13,Domain linker,0.270491803279,-0.0320875618007
14,C-terminus,0.258196721311,-0.0443826437679
